month,level_1,value
2002-09,Total (Excluding Motor Vehicles),73.8
2002-10,Total,71.4
2002-10,Total (Excluding Motor Vehicles),75.8
2002-11,Total,73.5
2002-11,Total (Excluding Motor Vehicles),76.5
2002-12,Total,79.2
2002-12,Total (Excluding Motor Vehicles),76.6
2003-01,Total,71.4
2003-01,Total (Excluding Motor Vehicles),71.5
2003-02,Total,73.2
2003-02,Total (Excluding Motor Vehicles),71.6
2003-03,Total,70.3
2003-03,Total (Excluding Motor Vehicles),72.4
2003-04,Total,73.6
2003-04,Total (Excluding Motor Vehicles),67.7
2003-05,Total,80.7
2003-05,Total (Excluding Motor Vehicles),69
2003-06,Total,75.9
2003-06,Total (Excluding Motor Vehicles),72.9
2003-07,Total,80.3
2003-07,Total (Excluding Motor Vehicles),70.4
2003-08,Total,78.9
2003-08,Total (Excluding Motor Vehicles),73
2003-09,Total,82.3
2003-09,Total (Excluding Motor Vehicles),72.2
2003-10,Total,82.8
2003-10,Total (Excluding Motor Vehicles),74.6
2003-11,Total,82.5
2003-11,Total (Excluding Motor Vehicles),73.9
2003-12,Total,89.1
2003-12,Total (Excluding Motor Vehicles),76.2
2004-01,Total,85
2004-01,Total (Excluding Motor Vehicles),74.1
2004-02,Total,97.7
2004-02,Total (Excluding Motor Vehicles),76.6
2004-03,Total,87.4
2004-03,Total (Excluding Motor Vehicles),75
2004-04,Total,85.8
2004-04,Total (Excluding Motor Vehicles),75.4
2004-05,Total,87.3
2004-05,Total (Excluding Motor Vehicles),76.8
2004-06,Total,89.5
2004-06,Total (Excluding Motor Vehicles),77.7
2004-07,Total,87.6
2004-07,Total (Excluding Motor Vehicles),75.9
2004-08,Total,88.4
2004-08,Total (Excluding Motor Vehicles),76.2
2004-09,Total,89.4
2004-09,Total (Excluding Motor Vehicles),76.5
2004-10,Total,92.7
2004-10,Total (Excluding Motor Vehicles),76.1
2004-11,Total,92.4
2004-11,Total (Excluding Motor Vehicles),77.5
2004-12,Total,90
2004-12,Total (Excluding Motor Vehicles),78.9
2005-01,Total,94.7
2005-01,Total (Excluding Motor Vehicles),80.9
2005-02,Total,94.7
2005-02,Total (Excluding Motor Vehicles),80.3
2005-03,Total,95.9
2005-03,Total (Excluding Motor Vehicles),81.1
2005-04,Total,97
2005-04,Total (Excluding Motor Vehicles),81.8
2005-05,Total,94.9
2005-05,Total (Excluding Motor Vehicles),80.7
2005-06,Total,96.9
2005-06,Total (Excluding Motor Vehicles),81.4
2005-07,Total,97.7
2005-07,Total (Excluding Motor Vehicles),84
2005-08,Total,98.6
2005-08,Total (Excluding Motor Vehicles),82.5
2005-09,Total,98.9
2005-09,Total (Excluding Motor Vehicles),83.3
2005-10,Total,101.2
2005-10,Total (Excluding Motor Vehicles),84.7
2005-11,Total,97
2005-11,Total (Excluding Motor Vehicles),81.3
2005-12,Total,100.3
2005-12,Total (Excluding Motor Vehicles),81.9
2006-01,Total,95.5
2006-01,Total (Excluding Motor Vehicles),82.9
2006-02,Total,101.3
2006-02,Total (Excluding Motor Vehicles),82.4
2006-03,Total,103.7
2006-03,Total (Excluding Motor Vehicles),83.5
2006-04,Total,102.9
2006-04,Total (Excluding Motor Vehicles),86.8
2006-05,Total,107.2
2006-05,Total (Excluding Motor Vehicles),86
2006-06,Total,103.1
2006-06,Total (Excluding Motor Vehicles),83.9
2006-07,Total,103
2006-07,Total (Excluding Motor Vehicles),84.8
2006-08,Total,103.5
2006-08,Total (Excluding Motor Vehicles),85.8
2006-09,Total,105.1
2006-09,Total (Excluding Motor Vehicles),87.8
2006-10,Total,105.1
2006-10,Total (Excluding Motor Vehicles),85.9
2006-11,Total,109.8
2006-11,Total (Excluding Motor Vehicles),86.4
2006-12,Total,108.2
